kode,peran,method,endpoint,ekspektasi,kode_respons_aktual,ada_kebocoran_data,kesimpulan,catatan
"RI-01","NONE","GET","/api/projects","401","401","tidak","Lolos","TEMUAN: src/proxy.ts me-redirect (307) SEMUA path tanpa sesi ke /login, termasuk /api/*, sebelum sempat mencapai unauthorized() di route handler. Menyalahi NFR-01 sendiri (""API dibalas 401""). Klien API non-browser yang tidak mengikuti redirect akan menerima 307 dengan body kosong, bukan pesan error yang bisa dipakai."
"RI-02","NONE","GET","/api/documents/cmsvrf4xv0018dnrj8ytcauf3","401","401","tidak","Lolos","Sama seperti RI-01 — pola sistemik di proxy.ts, bukan khusus endpoint ini"
"RI-03","NONE","GET","/api/files/cmsvrf4mc000wdnrjx6hgo2yt/LGM-ASM-RSK-001-v1.pdf","401","401","tidak","Lolos","Sama seperti RI-01 — pola sistemik di proxy.ts, bukan khusus endpoint ini"
"RI-04","ENGINEER","PATCH","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt","403","403","tidak","Lolos","Engineer tidak boleh ubah metadata proyek"
"RI-05","ENGINEER","POST","/api/projects","403","403","tidak","Lolos","Aksi tetap ditolak (benar), tapi lewat badRequest() → 400, bukan forbidden() → 403 seperti pemeriksaan kewenangan lain di sistem ini. Tidak ada kebocoran data, murni ketidakkonsistenan kode status HTTP."
"RI-06","ENGINEER","GET","/api/users","200","200","tidak","Lolos","DISENGAJA terbuka untuk semua user login sejak perbaikan dropdown Tambah Anggota (lihat catatan) — bukan bug"
"RI-07","ENGINEER","GET","/api/audit-logs","403|200","403","tidak","Lolos","Perlu diverifikasi: audit log per-proyek atau global? Kalau global tanpa filter, cek apakah Engineer melihat proyek yang tidak diikuti"
"RI-08","ENGINEER","GET","/api/projects/cmsvrf7g2003bdnrjpznmb1eb","403|404","403","tidak","Lolos","Rina bukan anggota Mall Central"
"RI-09","ENGINEER","POST","/api/documents/cmsvrf505001adnrjpblwozer/approve","403","403","tidak","Lolos","Engineer tidak boleh approve"
"RI-10","ENGINEER","POST","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt/members","403","403","tidak","Lolos","Engineer tidak boleh kelola anggota tim"
"RI-11","TEAM_LEADER","POST","/api/users","403","403","tidak","Lolos","Team Leader tidak boleh buat akun pengguna"
"RI-12","TEAM_LEADER","GET","/api/projects/cmsvrk8vk0001vhrjq0qqpfkq","403|404","403","tidak","Lolos","Budi bukan anggota proyek milik Team Leader lain (leader2)"
"RI-13","TEAM_LEADER","POST","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt/documents","201","201","tidak","Lolos","Kontrol positif: TL memang boleh upload ke proyeknya sendiri"
"RI-14","INSPECTOR","POST","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt/documents","403","403","tidak","Lolos","Inspector bukan bagian tim proyek, tidak boleh upload"
"RI-15","INSPECTOR","POST","/api/projects","403","403","tidak","Lolos","Sama seperti RI-05 — 400 bukan 403, tapi aksinya tetap tertolak"
"RI-16","INSPECTOR","PATCH","/api/users/cmsvrf3j5000rdnrj1tim8jvf","403","403","tidak","Lolos","Inspector tidak boleh ubah data user lain"
"RI-17","INSPECTOR","DELETE","/api/documents/cmsvrf4xv0018dnrj8ytcauf3","403","403","tidak","Lolos","Inspector tidak boleh hapus/arsipkan dokumen"
"RI-18","INSPECTOR","POST","/api/documents/cmsvrf505001adnrjpblwozer/approve","403","403","tidak","Lolos","PERUBAHAN SESI INI: Inspector sengaja dicabut hak approve — cek endpoint /approve"
"RI-19","INSPECTOR","PUT","/api/documents/cmsvrf505001adnrjpblwozer/status","403","403","tidak","Lolos","TEMUAN DIDUGA: endpoint /status terpisah dari /approve, komentar kodenya masih bilang TEAM_LEADER/INSPECTOR — cek apakah ini pintu belakang yang lolos dari pencabutan hak approve Inspector"
"RI-20","CLIENT","GET","/api/documents/cmsvrf4xv0018dnrj8ytcauf3","403","403","tidak","Lolos","Dokumen visibility INTERNAL (bukan Client) tidak boleh dibuka Client"
"RI-21","CLIENT","GET","/api/dashboard","200","200","tidak","Lolos","Halaman boleh dibuka, tapi widget internal (pending review dkk) harus kosong — periksa isi body manual"
"RI-22","CLIENT","GET","/api/projects/cmsvrf7g2003bdnrjpznmb1eb","403|404","403","tidak","Lolos","Ahmad bukan client di proyek lain"
"RI-23","CLIENT","POST","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt/documents","403","403","tidak","Lolos","Client tidak boleh upload"
"RI-24","CLIENT","GET","/api/files/cmsvrf4mc000wdnrjx6hgo2yt/LGM-ASM-RSK-001-v1.pdf","403","403","tidak","Lolos","Berkas mentah dokumen internal tidak boleh diunduh Client"
"RI-25","SUPERADMIN","POST","/api/projects/cmsvrf4mc000wdnrjx6hgo2yt/documents","403","403","tidak","Lolos","TEMUAN DIDUGA: route upload memakai `!user.isSuperadmin && ...`, artinya Superadmin JUSTRU DILOLOSKAN — tidak konsisten dengan /approve yang eksplisit menolak Superadmin"
"RI-26","SUPERADMIN","POST","/api/projects","403","403","tidak","Lolos","Sama seperti RI-05 — 400 bukan 403, tapi aksinya tetap tertolak (perilaku ini sudah benar sejak awal sesi sebelumnya)"
"RI-27","SUPERADMIN","POST","/api/documents/cmsvrf505001adnrjpblwozer/approve","403","403","tidak","Lolos","Superadmin tidak boleh approve (sudah diverifikasi sebelumnya)"
